feature,group,category,behavioural_candidate,explicit_missingness_flag,pooled_missing_frac,median_participant_missing_frac,n_participants_fully_missing,in_stage1_pool,in_stage1_valid_101,in_stage1_selected,in_primary_set,note
raw_acc:magnitude_spectrum:log_energy_band4,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_spectrum:spectral_entropy,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_autocorrelation:period,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:magnitude_autocorrelation:normalized_ac,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:mean_x,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:mean_y,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:mean_z,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:std_x,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:std_y,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:std_z,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,True,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:ro_xy,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:ro_xz,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
raw_acc:3d:ro_yz,raw_acc,phone_motion,True,False,0.0007685254381920041,0.0,0,True,True,False,True,phone accelerometer; 3d:mean_* also encode resting orientation/placement
proc_gyro:magnitude_stats:mean,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:std,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:moment3,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:moment4,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:percentile25,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:percentile50,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:percentile75,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:value_entropy,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_stats:time_entropy,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_spectrum:log_energy_band0,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,False,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_spectrum:log_energy_band1,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_spectrum:log_energy_band2,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,False,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_spectrum:log_energy_band3,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,False,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_spectrum:log_energy_band4,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_spectrum:spectral_entropy,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_autocorrelation:period,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,False,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:magnitude_autocorrelation:normalized_ac,proc_gyro,phone_motion,True,False,0.046238730501979616,0.0,3,True,True,False,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:mean_x,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:mean_y,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,False,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:mean_z,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,False,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:std_x,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:std_y,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:std_z,proc_gyro,phone_motion,True,False,0.046201629273928964,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:ro_xy,proc_gyro,phone_motion,True,False,0.05094263620125826,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:ro_xz,proc_gyro,phone_motion,True,False,0.050966486990719394,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
proc_gyro:3d:ro_yz,proc_gyro,phone_motion,True,False,0.050966486990719394,0.0,3,True,True,True,True,phone gyroscope (absent on some phone models -> device cue)
raw_magnet:magnitude_stats:mean,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:std,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:moment3,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:moment4,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:percentile25,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:percentile50,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:percentile75,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:value_entropy,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_stats:time_entropy,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_spectrum:log_energy_band0,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_spectrum:log_energy_band1,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_spectrum:log_energy_band2,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_spectrum:log_energy_band3,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_spectrum:log_energy_band4,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_spectrum:spectral_entropy,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_autocorrelation:period,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:magnitude_autocorrelation:normalized_ac,raw_magnet,magnetometer,False,False,0.08300604750017225,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:mean_x,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:mean_y,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:mean_z,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:std_x,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:std_y,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:std_z,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:ro_xy,raw_magnet,magnetometer,False,False,0.08532487425333779,0.027533968362411197,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:ro_xz,raw_magnet,magnetometer,False,False,0.08419593688551091,0.022709049396729134,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:3d:ro_yz,raw_magnet,magnetometer,False,False,0.08452984793796675,0.022709049396729134,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:avr_cosine_similarity_lag_range0,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:avr_cosine_similarity_lag_range1,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:avr_cosine_similarity_lag_range2,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:avr_cosine_similarity_lag_range3,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
raw_magnet:avr_cosine_similarity_lag_range4,raw_magnet,magnetometer,False,False,0.08300339741245435,0.01239648832516009,2,False,False,False,False,orientation + ambient magnetic environment (place-dependent)
watch_acceleration:magnitude_stats:mean,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:std,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:moment3,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:moment4,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:percentile25,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:percentile50,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:percentile75,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:value_entropy,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_stats:time_entropy,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_spectrum:log_energy_band0,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_spectrum:log_energy_band1,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_spectrum:log_energy_band2,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_spectrum:log_energy_band3,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_spectrum:log_energy_band4,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_spectrum:spectral_entropy,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_autocorrelation:period,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:magnitude_autocorrelation:normalized_ac,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:mean_x,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:mean_y,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:mean_z,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:std_x,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:std_y,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:std_z,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:ro_xy,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:ro_xz,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:3d:ro_yz,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:x_log_energy_band0,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:x_log_energy_band1,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:x_log_energy_band2,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:x_log_energy_band3,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:x_log_energy_band4,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:y_log_energy_band0,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:y_log_energy_band1,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:y_log_energy_band2,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:y_log_energy_band3,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:y_log_energy_band4,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:z_log_energy_band0,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:z_log_energy_band1,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:z_log_energy_band2,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:z_log_energy_band3,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:spectrum:z_log_energy_band4,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:relative_directions:avr_cosine_similarity_lag_range0,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:relative_directions:avr_cosine_similarity_lag_range1,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:relative_directions:avr_cosine_similarity_lag_range2,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:relative_directions:avr_cosine_similarity_lag_range3,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_acceleration:relative_directions:avr_cosine_similarity_lag_range4,watch_acceleration,watch_motion,False,False,0.3512532264817965,0.3220268110992868,5,False,False,False,False,wrist motion; missing whenever no watch was worn (37% of rows) -> device-availability cue
watch_heading:mean_cos,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:std_cos,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:mom3_cos,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:mom4_cos,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:mean_sin,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:std_sin,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:mom3_sin,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:mom4_sin,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
watch_heading:entropy_8bins,watch_heading,watch_heading,False,False,0.609337319065261,0.5982573184024316,8,False,False,False,False,compass heading; place/orientation
location:num_valid_updates,location,location,False,False,0.11504560800962511,0.003435631687102012,2,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:log_latitude_range,location,location,False,False,0.1996761592808722,0.03881116280453563,2,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:log_longitude_range,location,location,False,False,0.1996761592808722,0.03881116280453563,2,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:min_altitude,location,location,False,False,0.42466595644315824,0.029446716296138258,27,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:max_altitude,location,location,False,False,0.42466595644315824,0.029446716296138258,27,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:min_speed,location,location,False,False,0.722988980935269,0.7688691288302321,4,True,False,False,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:max_speed,location,location,False,False,0.722988980935269,0.7688691288302321,4,True,False,False,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:best_horizontal_accuracy,location,location,False,False,0.19082751639079254,0.03301962551611921,2,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:best_vertical_accuracy,location,location,False,False,0.42466595644315824,0.029446716296138258,27,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:diameter,location,location,False,False,0.11504560800962511,0.003435631687102012,2,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location:log_diameter,location,location,False,False,0.11504560800962511,0.003435631687102012,2,True,True,True,False,GPS-derived; altitude alone carried 26% of Stage 1 importance
location_quick_features:std_lat,location_quick_features,location,False,False,0.15044547974537958,0.031208106620234075,2,True,True,True,False,GPS-derived; Stage 1 shortcut group
location_quick_features:std_long,location_quick_features,location,False,False,0.15832949070614238,0.0408900485338073,2,True,True,True,False,GPS-derived; Stage 1 shortcut group
location_quick_features:lat_change,location_quick_features,location,False,False,0.14590852957232883,0.020132943942569887,2,True,True,False,False,GPS-derived; Stage 1 shortcut group
location_quick_features:long_change,location_quick_features,location,False,False,0.14590852957232883,0.020132943942569887,2,True,True,False,False,GPS-derived; Stage 1 shortcut group
location_quick_features:mean_abs_lat_deriv,location_quick_features,location,False,False,0.15722970430321243,0.03983124493413433,2,True,True,True,False,GPS-derived; Stage 1 shortcut group
location_quick_features:mean_abs_long_deriv,location_quick_features,location,False,False,0.1572827060575705,0.0401625908971353,2,True,True,True,False,GPS-derived; Stage 1 shortcut group
audio_naive:mfcc0:mean,audio_naive,audio_ambient,False,False,0.02542494156556582,0.009964570706097724,0,False,False,False,False,ambient sound MFCC; environment
audio_naive:mfcc1:mean,audio_naive,audio_ambient,False,False,0.02542494156556582,0.009964570706097724,0,False,False,False,False,ambient sound MFCC; environment
audio_naive:mfcc2:mean,audio_naive,audio_ambient,False,False,0.02542494156556582,0.009964570706097724,0,False,False,False,False,ambient sound MFCC; environment
