uuid,n_frames,median_gap_s,frac_gaps_59_61,frac_gaps_gt_90,n_segments,max_segment_frames,median_segment_frames,span_hours,cadence_class,eligible_primary
C48CE857-A0DD-4DDB-BEA5-3A25449B2153,5092,60.0,0.9414653309762325,0.014142604596346494,73,666,8.0,163.97861111111112,fragmented,False
CA820D43-E5E2-42EF-9798-BE56F776370B,7865,60.0,0.9881739572736521,0.001525940996948118,13,2154,528.0,149.72833333333332,regular,True
CCAF77F0-FABB-4F2F-9E24-D56AD0C5A82F,8472,60.0,0.29311769566757173,0.1166332192185102,989,123,5.0,166.86527777777778,fragmented,False
CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,2860,60.0,0.9926547743966422,0.0006995452955578874,3,1972,882.0,72.1986111111111,regular,True
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,3615,60.0,0.9833978970669618,0.0030437188710570003,12,748,242.5,145.84166666666667,regular,True
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,6210,60.0,0.9566757932034144,0.002737961024319536,18,1132,230.5,166.4638888888889,regular,True
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,3441,60.0,0.979360465116279,0.003197674418604651,12,1017,182.0,161.8997222222222,regular,True
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,3530,60.0,0.9926324737886086,0.003967129498441485,15,838,204.0,261.9913888888889,regular,True
F50235E0-DD67-4F2A-B00B-1F31ADA998B9,2266,66.0,0.12538631346578366,0.20485651214128037,465,81,2.0,142.14277777777778,fragmented,False
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,4973,60.0,0.9877312952534192,0.003218020917135961,17,2099,2.0,168.29416666666665,regular,True
