enrolled_user,target,mechanism,distinct_calib_impostors,target_FAR,tolerance,n_candidates,n_rejected_unreachable,n_in_band,n_in_band_rejected_unreachable,n_eligible,achievable_min_FAR,achievable_max_FAR,achievable_min_FAR_reachable,achievable_max_FAR_reachable,feasible,chosen_index,chosen_params,calib_FAR,calib_FRR
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,instantaneous,12,0.03,0.01,80,0,8,0,8,0.0,0.9694444444444444,0.0,0.9694444444444444,True,38.0,"{""theta"": 0.8760620748867395}",0.029861111111111113,0.2048611111111111
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,moving_average,12,0.03,0.01,320,0,35,0,35,0.0,1.0,0.0,1.0,True,124.0,"{""theta"": 0.8531355587061462, ""w"": 3}",0.027083333333333334,0.16666666666666666
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,ewma,12,0.03,0.01,320,0,35,0,35,0.0,1.0,0.0,1.0,True,103.0,"{""theta"": 0.8401466370742064, ""alpha"": 0.5}",0.029166666666666667,0.15138888888888888
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,majority_vote,12,0.03,0.01,400,0,59,0,59,0.0,0.9847222222222223,0.0,0.9847222222222223,True,102.0,"{""theta"": 0.8311304646461647, ""w"": 5, ""k"": 4}",0.029861111111111113,0.16215277777777778
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,debounce,12,0.03,0.01,320,0,27,0,27,0.0,1.0,0.0,1.0,True,177.0,"{""theta"": 0.8874012450607065, ""n"": 3}",0.029166666666666667,0.22951388888888888
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,margin_dual_threshold,12,0.03,0.01,320,115,26,11,15,0.0,1.0,0.0,1.0,True,62.0,"{""theta"": 0.8188748431921258, ""margin"": 0.2}",0.02013888888888889,0.06597222222222222
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,hysteresis,12,0.03,0.01,960,200,64,14,50,0.003472222222222222,1.0,0.003472222222222222,1.0,True,352.0,"{""theta"": 0.8447097855536339, ""margin"": 0.1, ""ttt_frames"": 2}",0.029166666666666667,0.14444444444444443
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,trust_model,12,0.03,0.01,720,111,76,7,69,0.0,1.0,0.0006944444444444445,1.0,True,215.0,"{""theta"": 0.8373231548630854, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.029861111111111113,0.16284722222222223
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,trust_model_single,12,0.03,0.01,720,0,78,0,78,0.0,1.0,0.0,1.0,True,233.0,"{""theta"": 0.8401466370742064, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.029861111111111113,0.15486111111111112
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.03,sprt,12,0.03,0.01,4725,0,387,0,387,0.001388888888888889,0.33402777777777776,0.001388888888888889,0.33402777777777776,True,3792.0,"{""A"": 31.99999999999999, ""B"": 0.5, ""delta"": 0.40000000000000036}",0.029861111111111113,0.09861111111111111
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,instantaneous,12,0.07,0.01,80,0,8,0,8,0.0,0.9694444444444444,0.0,0.9694444444444444,True,37.0,"{""theta"": 0.8188748431921258}",0.06736111111111111,0.11388888888888889
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,moving_average,12,0.07,0.01,320,0,31,0,31,0.0,1.0,0.0,1.0,True,57.0,"{""theta"": 0.7887194827752582, ""w"": 5}",0.06736111111111111,0.07326388888888889
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,ewma,12,0.07,0.01,320,0,30,0,30,0.0,1.0,0.0,1.0,True,59.0,"{""theta"": 0.7887194827752582, ""alpha"": 0.5}",0.06319444444444444,0.06840277777777778
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,majority_vote,12,0.07,0.01,400,0,24,0,24,0.0,0.9847222222222223,0.0,0.9847222222222223,True,67.0,"{""theta"": 0.7795040046318633, ""w"": 5, ""k"": 4}",0.06111111111111111,0.09965277777777778
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,debounce,12,0.07,0.01,320,0,22,0,22,0.0,1.0,0.0,1.0,True,137.0,"{""theta"": 0.8168798758898151, ""n"": 3}",0.06736111111111111,0.11805555555555555
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,margin_dual_threshold,12,0.07,0.01,320,95,29,0,29,0.0,1.0,0.0,1.0,True,58.0,"{""theta"": 0.7887194827752582, ""margin"": 0.2}",0.0625,0.027083333333333334
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,hysteresis,12,0.07,0.01,960,160,38,2,36,0.003472222222222222,1.0,0.003472222222222222,1.0,True,352.0,"{""theta"": 0.8067374312457783, ""margin"": 0.1, ""ttt_frames"": 2}",0.06597222222222222,0.03680555555555556
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,trust_model,12,0.07,0.01,720,100,25,3,22,0.0,1.0,0.0006944444444444445,1.0,True,278.0,"{""theta"": 0.8089059449669312, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.06805555555555555,0.090625
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,trust_model_single,12,0.07,0.01,720,0,51,0,51,0.0,1.0,0.0,1.0,True,149.0,"{""theta"": 0.7919574818696694, ""gain"": 0.3, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.06944444444444445,0.06909722222222223
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.07,sprt,12,0.07,0.01,4725,0,364,0,364,0.001388888888888889,0.33402777777777776,0.001388888888888889,0.33402777777777776,True,1436.0,"{""A"": 2.0, ""B"": 7.999999999999999, ""delta"": -0.3999999999999999}",0.06736111111111111,0.02638888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,instantaneous,11,0.05,0.01,80,0,7,0,7,0.0,0.9694444444444444,0.0,0.9694444444444444,True,39.0,"{""theta"": 0.8872998366013072}",0.04027777777777778,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,moving_average,11,0.05,0.01,320,0,23,0,23,0.0,1.0,0.0,1.0,True,128.0,"{""theta"": 0.8791754650578181, ""w"": 3}",0.04375,0.014930555555555556
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,ewma,11,0.05,0.01,320,0,39,0,39,0.0,1.0,0.0,1.0,True,107.0,"{""theta"": 0.8737030228758169, ""alpha"": 0.5}",0.043055555555555555,0.016666666666666666
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,majority_vote,11,0.05,0.01,400,0,21,0,21,0.0,0.9805555555555555,0.0,0.9805555555555555,True,220.0,"{""theta"": 0.890933257918552, ""w"": 3, ""k"": 2}",0.043055555555555555,0.007638888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,debounce,11,0.05,0.01,320,0,15,0,15,0.0,1.0,0.0,1.0,True,176.0,"{""theta"": 0.890933257918552, ""n"": 2}",0.043055555555555555,0.007638888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,margin_dual_threshold,11,0.05,0.01,320,123,70,26,44,0.0,1.0,0.0,1.0,True,100.0,"{""theta"": 0.8724139014580192, ""margin"": 0.05}",0.04722222222222222,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,hysteresis,11,0.05,0.01,960,220,20,10,10,0.0,1.0,0.011111111111111112,1.0,True,637.0,"{""theta"": 0.9195473141339869, ""margin"": 0.05, ""ttt_frames"": 3}",0.04027777777777778,0.09583333333333334
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,trust_model,11,0.05,0.01,720,131,36,11,25,0.0,1.0,0.0,1.0,True,413.0,"{""theta"": 0.8917200854700855, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.05,0.08333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,trust_model_single,11,0.05,0.01,720,0,66,0,66,0.0,1.0,0.0,1.0,True,233.0,"{""theta"": 0.8724139014580192, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.04513888888888889,0.03576388888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.05,sprt,11,0.05,0.01,4725,0,545,0,545,0.0,0.06944444444444445,0.0,0.06944444444444445,True,19.0,"{""A"": 0.5, ""B"": 0.5, ""delta"": 1.8000000000000003}",0.04236111111111111,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,instantaneous,11,0.03,0.01,80,0,7,0,7,0.0,0.9694444444444444,0.0,0.9694444444444444,True,39.0,"{""theta"": 0.8959734681372549}",0.02013888888888889,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,moving_average,11,0.03,0.01,320,0,34,0,34,0.0,1.0,0.0,1.0,True,132.0,"{""theta"": 0.8922450090078766, ""w"": 3}",0.022222222222222223,0.014930555555555556
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,ewma,11,0.03,0.01,320,0,33,0,33,0.0,1.0,0.0,1.0,True,115.0,"{""theta"": 0.8892845258295626, ""alpha"": 0.5}",0.029861111111111113,0.01875
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,majority_vote,11,0.03,0.01,400,0,34,0,34,0.0,0.9805555555555555,0.0,0.9805555555555555,True,240.0,"{""theta"": 0.9075807749916206, ""w"": 3, ""k"": 2}",0.02013888888888889,0.008333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,debounce,11,0.03,0.01,320,0,18,0,18,0.0,1.0,0.0,1.0,True,192.0,"{""theta"": 0.9075807749916206, ""n"": 2}",0.02013888888888889,0.008333333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,margin_dual_threshold,11,0.03,0.01,320,133,39,8,31,0.0,1.0,0.0,1.0,True,76.0,"{""theta"": 0.8791709433132228, ""margin"": 0.05}",0.025,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,hysteresis,11,0.03,0.01,960,260,17,8,9,0.0,1.0,0.011111111111111112,1.0,True,516.0,"{""theta"": 0.9008338125314228, ""margin"": 0.05, ""ttt_frames"": 2}",0.02847222222222222,0.021527777777777778
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,trust_model,11,0.03,0.01,720,131,21,6,15,0.0,1.0,0.0,1.0,True,494.0,"{""theta"": 0.9234068627450981, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.02361111111111111,0.20625
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,trust_model_single,11,0.03,0.01,720,0,48,0,48,0.0,1.0,0.0,1.0,True,305.0,"{""theta"": 0.8922450090078766, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.029861111111111113,0.044097222222222225
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.03,sprt,11,0.03,0.01,4725,0,725,0,725,0.0,0.06944444444444445,0.0,0.06944444444444445,True,12.0,"{""A"": 0.5, ""B"": 0.5, ""delta"": 0.40000000000000036}",0.022916666666666665,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,instantaneous,11,0.07,0.01,80,0,8,0,8,0.0,0.9694444444444444,0.0,0.9694444444444444,True,39.0,"{""theta"": 0.8737030228758169}",0.06041666666666667,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,moving_average,11,0.07,0.01,320,0,20,0,20,0.0,1.0,0.0,1.0,True,108.0,"{""theta"": 0.8393743715434893, ""w"": 3}",0.06944444444444445,0.013541666666666667
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,ewma,11,0.07,0.01,320,0,19,0,19,0.0,1.0,0.0,1.0,True,103.0,"{""theta"": 0.8293423202614375, ""alpha"": 0.5}",0.06944444444444445,0.011458333333333333
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,majority_vote,11,0.07,0.01,400,0,27,0,27,0.0,0.9805555555555555,0.0,0.9805555555555555,True,235.0,"{""theta"": 0.8819295186023127, ""w"": 3, ""k"": 2}",0.06041666666666667,0.007638888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,debounce,11,0.07,0.01,320,0,13,0,13,0.0,1.0,0.0,1.0,True,184.0,"{""theta"": 0.8805147058823529, ""n"": 2}",0.06111111111111111,0.007638888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,margin_dual_threshold,11,0.07,0.01,320,115,9,3,6,0.0,1.0,0.0,1.0,True,148.0,"{""theta"": 0.8654394482151841, ""margin"": 0.05}",0.06041666666666667,0.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,hysteresis,11,0.07,0.01,960,220,47,11,36,0.0,1.0,0.011111111111111112,1.0,True,444.0,"{""theta"": 0.8654394482151841, ""margin"": 0.05, ""ttt_frames"": 2}",0.06597222222222222,0.007638888888888889
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,trust_model,11,0.07,0.01,720,123,37,3,34,0.0,1.0,0.0,1.0,True,242.0,"{""theta"": 0.833739159125189, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.06944444444444445,0.03715277777777778
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,trust_model_single,11,0.07,0.01,720,0,20,0,20,0.0,1.0,0.0,1.0,True,260.0,"{""theta"": 0.8441672951231775, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.06597222222222222,0.027430555555555555
0A986513-7828-4D53-AA1F-E02D6DF9561B,0.07,sprt,11,0.07,0.01,4725,0,69,0,69,0.0,0.06944444444444445,0.0,0.06944444444444445,True,250.0,"{""A"": 0.5, ""B"": 22.627416997969522, ""delta"": 1.8000000000000003}",0.06180555555555556,0.0
136562B6-95B2-483D-88DC-065F28409FD2,0.05,instantaneous,12,0.05,0.01,80,0,7,0,7,0.0,0.9708333333333333,0.0,0.9708333333333333,True,35.0,"{""theta"": 0.8225159943531674}",0.04791666666666667,0.034722222222222224
136562B6-95B2-483D-88DC-065F28409FD2,0.05,moving_average,12,0.05,0.01,320,0,22,0,22,0.0,0.9916666666666667,0.0,0.9916666666666667,True,136.0,"{""theta"": 0.821569398972757, ""w"": 3}",0.04652777777777778,0.044097222222222225
136562B6-95B2-483D-88DC-065F28409FD2,0.05,ewma,12,0.05,0.01,320,0,19,0,19,0.0,1.0,0.0,1.0,True,139.0,"{""theta"": 0.821569398972757, ""alpha"": 0.5}",0.04791666666666667,0.04479166666666667
136562B6-95B2-483D-88DC-065F28409FD2,0.05,majority_vote,12,0.05,0.01,400,0,28,0,28,0.0,0.9784722222222222,0.0,0.9784722222222222,True,205.0,"{""theta"": 0.8277040218664584, ""w"": 3, ""k"": 2}",0.05,0.04097222222222222
136562B6-95B2-483D-88DC-065F28409FD2,0.05,debounce,12,0.05,0.01,320,0,13,0,13,0.0,0.9805555555555555,0.0,0.9805555555555555,True,164.0,"{""theta"": 0.8277040218664584, ""n"": 2}",0.04791666666666667,0.040625
136562B6-95B2-483D-88DC-065F28409FD2,0.05,margin_dual_threshold,12,0.05,0.01,320,106,6,1,5,0.0,1.0,0.0,1.0,True,144.0,"{""theta"": 0.8238563662031058, ""margin"": 0.05}",0.04375,0.034722222222222224
136562B6-95B2-483D-88DC-065F28409FD2,0.05,hysteresis,12,0.05,0.01,960,168,23,9,14,0.0,1.0,0.0020833333333333333,1.0,True,589.0,"{""theta"": 0.8404035382813204, ""margin"": 0.05, ""ttt_frames"": 3}",0.043055555555555555,0.050694444444444445
136562B6-95B2-483D-88DC-065F28409FD2,0.05,trust_model,12,0.05,0.01,720,106,8,0,8,0.0,1.0,0.0,1.0,True,493.0,"{""theta"": 0.8699726669269816, ""gain"": 0.6, ""decay"": 0.05, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.04791666666666667,0.1295138888888889
136562B6-95B2-483D-88DC-065F28409FD2,0.05,trust_model_single,12,0.05,0.01,720,0,16,0,16,0.0,1.0,0.0,1.0,True,395.0,"{""theta"": 0.8306723635599075, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.049305555555555554,0.051041666666666666
136562B6-95B2-483D-88DC-065F28409FD2,0.05,sprt,12,0.05,0.01,4725,0,252,0,252,0.0,0.15902777777777777,0.0,0.15902777777777777,True,237.0,"{""A"": 0.5, ""B"": 22.627416997969522, ""delta"": -0.7999999999999998}",0.04375,0.03263888888888889
136562B6-95B2-483D-88DC-065F28409FD2,0.03,instantaneous,12,0.03,0.01,80,0,7,0,7,0.0,0.9708333333333333,0.0,0.9708333333333333,True,40.0,"{""theta"": 0.8452261095926071}",0.02013888888888889,0.036458333333333336
136562B6-95B2-483D-88DC-065F28409FD2,0.03,moving_average,12,0.03,0.01,320,0,21,0,21,0.0,0.9916666666666667,0.0,0.9916666666666667,True,136.0,"{""theta"": 0.8381028043933154, ""w"": 3}",0.025694444444444443,0.04895833333333333
136562B6-95B2-483D-88DC-065F28409FD2,0.03,ewma,12,0.03,0.01,320,0,15,0,15,0.0,1.0,0.0,1.0,True,143.0,"{""theta"": 0.8391396494758657, ""alpha"": 0.5}",0.021527777777777778,0.049652777777777775
136562B6-95B2-483D-88DC-065F28409FD2,0.03,majority_vote,12,0.03,0.01,400,0,32,0,32,0.0,0.9784722222222222,0.0,0.9784722222222222,True,235.0,"{""theta"": 0.854976634728021, ""w"": 3, ""k"": 2}",0.021527777777777778,0.04236111111111111
136562B6-95B2-483D-88DC-065F28409FD2,0.03,debounce,12,0.03,0.01,320,0,26,0,26,0.0,0.9805555555555555,0.0,0.9805555555555555,True,172.0,"{""theta"": 0.84808224676859, ""n"": 2}",0.02013888888888889,0.04201388888888889
136562B6-95B2-483D-88DC-065F28409FD2,0.03,margin_dual_threshold,12,0.03,0.01,320,109,10,4,6,0.0,1.0,0.0,1.0,True,136.0,"{""theta"": 0.8381028043933154, ""margin"": 0.05}",0.029861111111111113,0.03680555555555556
136562B6-95B2-483D-88DC-065F28409FD2,0.03,hysteresis,12,0.03,0.01,960,168,57,27,30,0.0,1.0,0.0020833333333333333,1.0,True,468.0,"{""theta"": 0.8434341177825168, ""margin"": 0.05, ""ttt_frames"": 2}",0.022222222222222223,0.043055555555555555
136562B6-95B2-483D-88DC-065F28409FD2,0.03,trust_model,12,0.03,0.01,720,109,21,2,19,0.0,1.0,0.0,1.0,True,413.0,"{""theta"": 0.8528137388740376, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.029861111111111113,0.08298611111111111
136562B6-95B2-483D-88DC-065F28409FD2,0.03,trust_model_single,12,0.03,0.01,720,0,19,0,19,0.0,1.0,0.0,1.0,True,350.0,"{""theta"": 0.8422310635869402, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.027083333333333334,0.05763888888888889
136562B6-95B2-483D-88DC-065F28409FD2,0.03,sprt,12,0.03,0.01,4725,0,361,0,361,0.0,0.15902777777777777,0.0,0.15902777777777777,True,763.0,"{""A"": 1.0, ""B"": 3.999999999999999, ""delta"": -0.5999999999999999}",0.029861111111111113,0.034375
136562B6-95B2-483D-88DC-065F28409FD2,0.07,instantaneous,12,0.07,0.01,80,0,7,0,7,0.0,0.9708333333333333,0.0,0.9708333333333333,True,39.0,"{""theta"": 0.8127645450995704}",0.06041666666666667,0.034722222222222224
136562B6-95B2-483D-88DC-065F28409FD2,0.07,moving_average,12,0.07,0.01,320,0,16,0,16,0.0,0.9916666666666667,0.0,0.9916666666666667,True,152.0,"{""theta"": 0.8118793740425915, ""w"": 3}",0.06041666666666667,0.041666666666666664
136562B6-95B2-483D-88DC-065F28409FD2,0.07,ewma,12,0.07,0.01,320,0,16,0,16,0.0,1.0,0.0,1.0,True,139.0,"{""theta"": 0.807594689574385, ""alpha"": 0.5}",0.06458333333333334,0.03958333333333333
136562B6-95B2-483D-88DC-065F28409FD2,0.07,majority_vote,12,0.07,0.01,400,0,27,0,27,0.0,0.9784722222222222,0.0,0.9784722222222222,True,235.0,"{""theta"": 0.821569398972757, ""w"": 3, ""k"": 2}",0.06041666666666667,0.040625
136562B6-95B2-483D-88DC-065F28409FD2,0.07,debounce,12,0.07,0.01,320,0,13,0,13,0.0,0.9805555555555555,0.0,0.9805555555555555,True,176.0,"{""theta"": 0.8170193434055206, ""n"": 2}",0.06041666666666667,0.04027777777777778
136562B6-95B2-483D-88DC-065F28409FD2,0.07,margin_dual_threshold,12,0.07,0.01,320,93,12,0,12,0.0,1.0,0.0,1.0,True,136.0,"{""theta"": 0.807594689574385, ""margin"": 0.05}",0.06111111111111111,0.034375
136562B6-95B2-483D-88DC-065F28409FD2,0.07,hysteresis,12,0.07,0.01,960,168,8,3,5,0.0,1.0,0.0020833333333333333,1.0,True,662.0,"{""theta"": 0.891452772354549, ""margin"": 0.05, ""ttt_frames"": 5}",0.06388888888888888,0.12152777777777778
136562B6-95B2-483D-88DC-065F28409FD2,0.07,trust_model,12,0.07,0.01,720,93,5,0,5,0.0,1.0,0.0,1.0,True,492.0,"{""theta"": 0.8699726669269816, ""gain"": 0.6, ""decay"": 0.0, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.06388888888888888,0.15833333333333333
136562B6-95B2-483D-88DC-065F28409FD2,0.07,trust_model_single,12,0.07,0.01,720,0,15,0,15,0.0,1.0,0.0,1.0,True,431.0,"{""theta"": 0.821569398972757, ""gain"": 0.6, ""decay"": 0.2, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.06458333333333334,0.04722222222222222
136562B6-95B2-483D-88DC-065F28409FD2,0.07,sprt,12,0.07,0.01,4725,0,368,0,368,0.0,0.15902777777777777,0.0,0.15902777777777777,True,828.0,"{""A"": 1.0, ""B"": 11.31370849898476, ""delta"": -0.19999999999999996}",0.06597222222222222,0.030555555555555555
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,instantaneous,12,0.05,0.01,40,0,0,0,0,0.0,0.9715277777777778,0.0,0.9715277777777778,False,,null,,
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,moving_average,12,0.05,0.01,160,0,2,0,2,0.0,0.99375,0.0,0.99375,True,50.0,"{""theta"": 0.8729388942774006, ""w"": 10}",0.04583333333333333,0.05659722222222222
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,ewma,12,0.05,0.01,160,0,1,0,1,0.0,1.0,0.0,1.0,True,56.0,"{""theta"": 0.8778481280310378, ""alpha"": 0.1}",0.04583333333333333,0.18333333333333332
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,majority_vote,12,0.05,0.01,200,0,4,0,4,0.0,0.9944444444444445,0.0,0.9944444444444445,True,103.0,"{""theta"": 0.9031037827352085, ""w"": 10, ""k"": 6}",0.04791666666666667,0.31145833333333334
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,debounce,12,0.05,0.01,160,0,8,0,8,0.0,1.0,0.0,1.0,True,82.0,"{""theta"": 0.9031037827352085, ""n"": 5}",0.05,0.31805555555555554
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,margin_dual_threshold,12,0.05,0.01,160,64,0,0,0,0.0,1.0,0.0,1.0,False,,null,,
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,hysteresis,12,0.05,0.01,480,140,14,7,7,0.0,1.0,0.001388888888888889,1.0,True,278.0,"{""theta"": 0.917776935014549, ""margin"": 0.05, ""ttt_frames"": 5}",0.05,0.35208333333333336
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,trust_model,12,0.05,0.01,360,64,9,1,8,0.0,1.0,0.0,1.0,True,187.0,"{""theta"": 0.9031037827352085, ""gain"": 0.6, ""decay"": 0.05, ""tau_lo"": 0.4, ""tau_hi"": 0.6}",0.04513888888888889,0.296875
1538C99F-BA1E-4EFB-A949-6C7C47701B20,0.05,trust_model_single,12,0.05,0.01,360,0,8,0,8,0.0,1.0,0.0,1.0,True,151.0,"{""theta"": 0.8859223957322988, ""gain"": 0.6, ""decay"": 0.05, ""tau_lo"": 0.5, ""tau_hi"": 0.5}",0.05,0.17083333333333334
