file,participant,n_frames,median_gap_s,mean_gap_s,iqr_s,p05_gap_s,p95_gap_s,mode_gap_s,frac_gap_59_61,frac_gap_lt_30,frac_gap_gt_120,frac_contiguous,n_runs,run_len_frames_min,run_len_frames_median,run_len_frames_p90,run_len_frames_max,run_len_min_median,span_hours
,24E40C4C-A349-4F9F-93AB-01D00FB994AF,4771,60.0,207.3155136268344,"[60.0, 60.0]",60.0,60.0,60.0,0.9742138364779874,0.0,0.0037735849056603774,0.9951781970649896,19,2,198.0,454.5999999999998,931,198.0,274.69305555555553
,27E04243-B138-4F40-A164-F40B60165CF3,4927,60.0,138.0907429963459,"[53.0, 70.0]",26.0,99.0,60.0,0.29455948030856677,0.07064555420219244,0.01806739748274462,0.9015428339423467,90,1,9.5,145.70000000000005,677,9.5,188.95416666666668
,2C32C23E-E30C-498A-8DD2-0EFB9150A02E,8516,60.0,70.95267175572519,"[60.0, 60.0]",60.0,60.0,60.0,0.9869641808573106,0.00011743981209630065,0.0009395184967704052,0.9983558426306518,9,54,784.0,1711.6000000000004,3366,784.0,167.8227777777778
,33A85C34-CFE4-4732-9E73-0A7AC861B27A,6172,60.0,99.38778155890455,"[60.0, 66.0]",36.0,121.0,60.0,0.5209852536055745,0.023010857235456168,0.052665694376924324,0.8964511424404472,326,1,6.0,43.5,427,6.0,170.3672222222222
,3600D531-0C55-44A7-AE95-A7A38519464E,5203,60.0,129.7750865051903,"[60.0, 60.0]",60.0,60.0,60.0,0.9867358708189158,0.0,0.005959246443675509,0.9936562860438293,32,1,22.5,580.4000000000007,1175,22.5,187.525
,40E170A7-607B-4578-AF04-F021C3B0384A,7649,60.0,79.0609309623431,"[46.0, 80.0]",22.0,100.0,60.0,0.3040010460251046,0.10015690376569038,0.011898535564853556,0.8781380753138075,92,1,28.0,246.60000000000014,695,28.0,167.96055555555554
,481F4DD2-7689-43B9-A2AA-C8772227162B,6691,60.0,115.0405082212257,"[59.0, 70.0]",28.0,120.0,60.0,0.45605381165919284,0.05515695067264574,0.03303437967115097,0.85949177877429,222,1,10.0,74.9,607,10.0,213.7836111111111
,4E98F91F-4654-42EF-B908-A3389443F2E7,3250,61.0,186.06309633733457,"[58.0, 72.0]",28.0,208.79999999999973,60.0,0.34749153585718684,0.05847953216374269,0.10495537088334872,0.8464142813173284,325,1,2.0,23.200000000000045,258,2.033333333333333,167.92194444444445
,4FC32141-E888-4BFF-8804-12559A491D8C,4979,60.0,85.34230614704701,"[60.0, 60.0]",60.0,60.0,60.0,0.9837284049819205,0.0,0.0022097227802330252,0.9965849738850944,12,9,174.5,1282.7000000000003,1524,174.5,118.00944444444444
,5119D0F8-FCA8-4184-A4EB-19421A40DE0D,6617,60.0,82.89268440145102,"[60.0, 60.0]",60.0,60.0,60.0,0.9906287787182587,0.00015114873035066505,0.0013603385731559856,0.998639661426844,10,2,387.5,1634.6999999999996,2595,387.5,152.33833333333334
,5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,6617,60.0,91.30229746070133,"[60.0, 60.0]",60.0,60.0,60.0,0.9898730350665055,0.0,0.0010580411124546554,0.998639661426844,8,19,718.5,1568.6999999999998,1960,718.5,167.79333333333332
,59818CD2-24D7-4D32-B133-24C2FE3801E5,5947,61.0,99.77985200134545,"[54.0, 71.0]",28.0,100.0,60.0,0.33938782374705684,0.05734947864110326,0.010090817356205853,0.905314497140935,53,3,39.0,358.2000000000004,608,39.65,164.80305555555555
,59EEFAE0-DEB0-4FFF-9250-54D2A03D0CF2,7542,61.0,78.89364805728684,"[51.0, 80.0]",29.0,133.0,60.0,0.16509746717941917,0.05277814613446492,0.0632542103169341,0.8522742341864474,437,1,5.0,33.400000000000034,592,5.083333333333333,165.2602777777778
,5EF64122-B513-46AE-BCF1-E62AAC285D2C,3911,60.0,63.48337595907928,"[60.0, 60.0]",60.0,60.0,60.0,0.972378516624041,0.0007672634271099745,0.002301790281329923,0.9976982097186701,10,61,313.5,652.3,844,313.5,68.95
,61359772-D8D8-480D-B623-7C636EAD0C81,6079,60.0,103.30799605133268,"[59.0, 61.0]",26.0,99.0,60.0,0.5258308654162553,0.06235603817045081,0.015301085883514315,0.9147745969068772,94,1,10.5,201.10000000000002,485,10.5,174.41833333333332
,61976C24-1C50-4355-9C49-AAE44A7D09F6,8730,60.0,1206.5478290754954,"[60.0, 60.0]",60.0,60.0,60.0,0.977431550005728,0.0005728032993470042,0.0050406690342536375,0.9883148126933211,45,1,16.0,250.00000000000006,5385,16.0,2925.5433333333335
,665514DE-49DC-421F-8DCB-145D0B2609AD,9167,60.0,65.97948941741218,"[56.0, 70.0]",27.0,99.0,60.0,0.339515601134628,0.05934977089242854,0.018110408029674886,0.910866244817805,167,1,24.0,118.60000000000002,633,24.0,167.9911111111111
,74B86067-5D4B-43CF-82CF-341B76BEA0F4,7298,60.0,73.56338221186789,"[60.0, 70.0]",39.0,100.0,60.0,0.4740304234616966,0.0002740852405097985,0.016171029190078113,0.9077703165684528,119,1,28.0,155.60000000000002,411,28.0,149.10888888888888
,78A91A4E-4A51-4065-BDA7-94755F0BB3BB,11996,60.0,66.7231346394331,"[60.0, 60.0]",59.0,61.0,60.0,0.9917465610671113,0.0,0.00033347228011671527,0.9992496873697374,5,165,2312.0,4552.2,4805,2312.0,222.3177777777778
,797D145F-3858-4A7F-A7C2-A4EB721E133C,3593,61.0,142.41146993318486,"[60.0, 62.0]",35.0,92.0,60.0,0.45601336302895323,0.031180400890868598,0.01030066815144766,0.9445991091314031,35,5,68.0,248.60000000000002,408,69.13333333333334,142.095
,7CE37510-56D0-4120-A1CF-0E23351428D2,9761,60.0,60.341290983606555,"[60.0, 60.0]",60.0,60.0,60.0,0.9878073770491803,0.0006147540983606558,0.0004098360655737705,0.9992827868852459,5,1,371.0,5267.800000000001,7875,371.0,163.59194444444444
,7D9BB102-A612-4E2A-8E22-3159752F55D8,1600,60.0,367.3777360850532,"[60.0, 60.0]",60.0,61.0,60.0,0.9618511569731082,0.0,0.021263289555972485,0.9749843652282677,35,1,24.0,90.00000000000001,262,24.0,163.17694444444444
,8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,9189,60.0,74.86612973443623,"[60.0, 60.0]",59.0,61.0,60.0,0.9614714845450588,0.0015237265999129299,0.002503265128428385,0.9968437091858946,24,1,134.5,1056.8,1610,134.5,191.075
,806289BC-AD52-4CC1-806C-0CDB14D65EB6,9242,61.0,65.544421599394,"[58.0, 68.0]",29.0,92.0,62.0,0.2477004653176063,0.05129315009198139,0.009089925332756195,0.9447029542257331,74,1,60.0,339.7000000000001,956,61.0,168.2488888888889
,81536B0A-8DBF-4D8A-AC24-9543E2E4C8E0,6407,62.0,94.96425226350297,"[58.0, 87.0]",26.0,143.0,60.0,0.2450827349359975,0.06884171089603497,0.12722447705276305,0.7900405869497347,650,1,5.0,21.0,134,5.166666666666667,168.98361111111112
,83CF687B-7CEC-434B-9FE8-00C3D5799BE6,9539,60.0,63.53103375969805,"[60.0, 60.0]",60.0,60.0,60.0,0.9951771859928706,0.0,0.0006290626965820927,0.9992660935206542,7,1,734.0,3324.2000000000003,4067,734.0,168.32194444444445
,86A4F379-B305-473D-9D83-FC7D800180EF,10738,63.0,94.98407376362113,"[54.0, 79.0]",32.0,139.0,60.0,0.1392381484586011,0.03315637515134581,0.07562633882835057,0.8667225481978206,701,1,7.0,37.0,241,7.35,283.29
,96A358A0-FFF2-4239-B93E-C7425B901B47,5819,60.0,119.33568236507391,"[54.0, 70.0]",27.0,99.0,60.0,0.31041595049845305,0.05998624957029907,0.01684427638363699,0.9058095565486421,99,1,26.0,148.4000000000001,664,26.0,192.85972222222222
,9759096F-1119-4E19-A0AD-6F16989C7E1C,9959,60.0,60.47991564571199,"[60.0, 60.0]",60.0,60.0,60.0,0.9942759590279172,0.0,0.0004016870857601928,0.9995983129142398,5,9,1178.0,4561.400000000001,6073,1178.0,167.29416666666665
,99B204C0-DD5C-4BB7-83E8-A37281B8D769,6038,61.0,111.3249958588703,"[54.0, 81.0]",27.0,120.0,60.0,0.24995858870299817,0.07569985091933079,0.042736458505880405,0.8360112638727845,193,1,10.0,76.80000000000001,432,10.166666666666666,186.68583333333333
,9DC38D04-E82E-4F29-AB52-B476535226F2,9686,60.0,62.30077439339184,"[60.0, 60.0]",60.0,60.0,60.0,0.9822405782137326,0.0,0.0016520392359318534,0.9977284460505937,17,1,5.0,1704.2000000000003,4745,5.0,167.6063888888889
,A5A30F76-581E-4757-97A2-957553A2C6AA,1667,64.0,244.031212484994,"[60.0, 114.0]",44.0,493.5,60.0,0.20468187274909963,0.003001200480192077,0.1788715486194478,0.7220888355342137,202,1,2.0,19.0,195,2.1333333333333333,112.93222222222222
,A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,6040,60.0,121.12584865043881,"[60.0, 60.0]",60.0,60.0,60.0,0.9839377380360987,0.0003311806590495115,0.0023182646133465806,0.9975161450571287,15,1,359.0,934.5999999999999,1582,359.0,203.1886111111111
,A7599A50-24AE-46A6-8EA6-2576F1011D81,3898,60.0,140.01026430587632,"[60.0, 61.0]",36.0,86.0,60.0,0.5660764690787785,0.02848344880677444,0.006415191172696947,0.9638183217859893,26,2,71.0,428.5,725,71.0,151.5611111111111
,A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,7520,60.0,80.41747572815534,"[60.0, 60.0]",60.0,60.0,60.0,0.9944141508179279,0.0,0.0001329964090969544,0.9996010107727091,2,920,3760.0,6032.0,6600,3760.0,167.96083333333334
,B09E373F-8A54-44C8-895B-0039390B859F,8134,60.0,116.33148899545063,"[60.0, 60.0]",59.0,61.0,60.0,0.9824173121849256,0.0,0.0012295585884667404,0.9985245296938399,11,1,284.0,1926.0,3215,284.0,262.8122222222222
,B7F9D634-263E-4A97-87F9-6FFB4DDCB36C,9383,60.0,71.27936474099339,"[60.0, 65.0]",26.0,100.0,60.0,0.49584310381581753,0.06309955233425708,0.031869537412065656,0.9079087614581113,300,1,15.0,85.20000000000005,292,15.0,185.76194444444445
,B9724848-C7E2-45F4-9B3F-A1F38D864495,7626,60.0,78.66308196721312,"[60.0, 60.0]",60.0,60.0,60.0,0.9880655737704918,0.00013114754098360657,0.0015737704918032786,0.9979016393442623,13,3,540.0,1317.0000000000002,1474,540.0,166.61277777777778
,BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,8309,60.0,72.55187770823302,"[60.0, 60.0]",60.0,60.0,60.0,0.9776119402985075,0.0,0.0018054886856042369,0.9973519499277804,16,1,453.0,1190.5,1707,453.0,167.4336111111111
,BEF6C611-50DA-4971-A040-87FB979F3FC1,3451,60.0,144.94608695652173,"[56.0, 82.0]",32.0,120.0,60.0,0.2982608695652174,0.036521739130434785,0.04753623188405797,0.8944927536231884,165,1,5.0,50.0,211,5.0,138.90666666666667
,C48CE857-A0DD-4DDB-BEA5-3A25449B2153,5092,60.0,115.95423296012571,"[60.0, 60.0]",59.0,61.0,60.0,0.9414653309762325,0.0005892751915144372,0.010803378511098017,0.9858573954036535,56,1,9.0,261.5,695,9.0,163.97861111111112
,CA820D43-E5E2-42EF-9798-BE56F776370B,7865,60.0,68.54298067141404,"[60.0, 60.0]",59.0,61.0,60.0,0.9881739572736521,0.0,0.001017293997965412,0.9984740590030519,9,1,546.0,2627.4,2645,546.0,149.72833333333332
,CCAF77F0-FABB-4F2F-9E24-D56AD0C5A82F,8472,60.0,70.91429583284146,"[54.0, 75.0]",26.0,104.0,60.0,0.29311769566757173,0.07082989021367017,0.03104710187699209,0.8833667807814898,264,1,17.0,69.2000000000001,567,17.0,166.86527777777778
,CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,2860,60.0,90.91115774746415,"[60.0, 60.0]",60.0,60.0,60.0,0.9926547743966422,0.0,0.0006995452955578874,0.9993004547044421,3,6,882.0,1754.0,1972,882.0,72.1986111111111
,CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,3615,60.0,145.27670171555064,"[60.0, 60.0]",59.0,61.0,60.0,0.9833978970669618,0.0,0.002767017155506364,0.996956281128943,11,57,351.0,609.0,748,351.0,145.84166666666667
,D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,6210,60.0,96.5163472378805,"[60.0, 60.0]",59.0,61.0,60.0,0.9566757932034144,0.0,0.0019326783701079078,0.9972620389756804,13,33,435.0,932.4000000000001,1328,435.0,166.4638888888889
,E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,3441,60.0,169.4299418604651,"[60.0, 60.0]",60.0,60.0,60.0,0.979360465116279,0.0,0.0005813953488372093,0.9968023255813954,3,3,1352.0,1939.2,2086,1352.0,161.8997222222222
,ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,3530,60.0,267.2623972796826,"[60.0, 60.0]",60.0,60.0,60.0,0.9926324737886086,0.0,0.003967129498441485,0.9960328705015585,15,1,204.0,402.0,838,204.0,261.9913888888889
,F50235E0-DD67-4F2A-B00B-1F31ADA998B9,2266,66.0,225.9222958057395,"[57.0, 84.0]",31.0,406.3999999999992,60.0,0.12538631346578366,0.04282560706401766,0.1456953642384106,0.8181015452538631,301,1,2.0,19.0,131,2.2,142.14277777777778
,FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,4973,60.0,121.85418342719228,"[60.0, 60.0]",60.0,60.0,60.0,0.9877312952534192,0.0,0.003218020917135961,0.996781979082864,17,1,2.0,763.8000000000001,2099,2.0,168.29416666666665
